Name,URI,Region GSS code,Period,Sales volume,Reporting period,House price index All property types,Pivotable date
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2014-01,485,monthly,97.53,01-01-14
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2014-01,238,monthly,94.87,01-01-14
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2014-01,945,monthly,95.48,01-01-14
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2014-01,2403,monthly,96.17,01-01-14
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2014-02,533,monthly,99.09,01-02-14
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2014-02,230,monthly,95.63,01-02-14
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2014-02,863,monthly,95.43,01-02-14
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2014-02,2360,monthly,96.44,01-02-14
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2014-03,476,monthly,99.04,01-03-14
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2014-03,263,monthly,94.82,01-03-14
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2014-03,955,monthly,94.63,01-03-14
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2014-03,2428,monthly,95.97,01-03-14
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2014-04,538,monthly,98.87,01-04-14
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2014-04,249,monthly,96.18,01-04-14
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2014-04,970,monthly,95.45,01-04-14
West Yorkshire,http://landregistry.data.gov.uk/id/region/west-yorkshire,E11000006,2014-04,2551,monthly,96.67,01-04-14
Bradford,http://landregistry.data.gov.uk/id/region/bradford,E08000032,2014-05,587,monthly,99.32,01-05-14
Calderdale,http://landregistry.data.gov.uk/id/region/calderdale,E08000033,2014-05,279,monthly,96.64,01-05-14
Leeds,http://landregistry.data.gov.uk/id/region/leeds,E08000035,2014-05,1078,monthly,96.81,01-05-14
